Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2020,1.41,41.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2021,0.87,24.0
Passenger car (driver),Trip in February,Groningen (PV),2018,1.46,41.0
Passenger car (driver),Trip in February,Groningen (PV),2019,,
Passenger car (driver),Trip in February,Groningen (PV),2020,,
Passenger car (driver),Trip in February,Groningen (PV),2021,,
Passenger car (driver),Trip in February,Fryslân (PV),2018,1.38,39.0
Passenger car (driver),Trip in February,Fryslân (PV),2019,,
Passenger car (driver),Trip in February,Fryslân (PV),2020,,
Passenger car (driver),Trip in February,Fryslân (PV),2021,,
Passenger car (driver),Trip in February,Drenthe (PV),2018,1.73,48.0
Passenger car (driver),Trip in February,Drenthe (PV),2019,,
Passenger car (driver),Trip in February,Drenthe (PV),2020,,
Passenger car (driver),Trip in February,Drenthe (PV),2021,,
Passenger car (driver),Trip in February,Overijssel (PV),2018,1.56,44.0
Passenger car (driver),Trip in February,Overijssel (PV),2019,1.44,40.0
Passenger car (driver),Trip in February,Overijssel (PV),2020,1.43,42.0
Passenger car (driver),Trip in February,Overijssel (PV),2021,0.87,24.0
Passenger car (driver),Trip in February,Flevoland (PV),2018,1.51,42.0
Passenger car (driver),Trip in February,Flevoland (PV),2019,,
Passenger car (driver),Trip in February,Flevoland (PV),2020,,
Passenger car (driver),Trip in February,Flevoland (PV),2021,,
Passenger car (driver),Trip in February,Gelderland (PV),2018,1.26,35.0
Passenger car (driver),Trip in February,Gelderland (PV),2019,1.15,32.0
Passenger car (driver),Trip in February,Gelderland (PV),2020,1.36,39.0
Passenger car (driver),Trip in February,Gelderland (PV),2021,0.9,25.0
Passenger car (driver),Trip in February,Utrecht (PV),2018,1.2,34.0
Passenger car (driver),Trip in February,Utrecht (PV),2019,0.88,25.0
Passenger car (driver),Trip in February,Utrecht (PV),2020,1.03,30.0
Passenger car (driver),Trip in February,Utrecht (PV),2021,0.68,19.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2018,1.06,30.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2019,0.97,27.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2020,1.04,30.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2021,0.69,19.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2018,1.03,29.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2019,1.01,28.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2020,1.0,29.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2021,0.72,20.0
Passenger car (driver),Trip in February,Zeeland (PV),2018,1.88,53.0
Passenger car (driver),Trip in February,Zeeland (PV),2019,,
Passenger car (driver),Trip in February,Zeeland (PV),2020,,
Passenger car (driver),Trip in February,Zeeland (PV),2021,,
Passenger car (driver),Trip in February,Noord-Brabant (PV),2018,1.16,33.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2019,1.42,40.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2020,1.42,41.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2021,0.8,22.0
Passenger car (driver),Trip in February,Limburg (PV),2018,1.59,44.0
Passenger car (driver),Trip in February,Limburg (PV),2019,1.56,44.0
Passenger car (driver),Trip in February,Limburg (PV),2020,1.56,45.0
Passenger car (driver),Trip in February,Limburg (PV),2021,1.15,32.0
Passenger car (driver),Trip in March,The Netherlands,2018,1.06,33.0
Passenger car (driver),Trip in March,The Netherlands,2019,1.0,31.0
Passenger car (driver),Trip in March,The Netherlands,2020,0.76,24.0
Passenger car (driver),Trip in March,The Netherlands,2021,0.8,25.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2018,1.07,33.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2019,1.09,34.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2020,0.95,30.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2021,0.87,27.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2018,1.18,37.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2019,1.08,33.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2020,0.81,25.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2021,0.86,27.0
Passenger car (driver),Trip in March,West-Nederland (LD),2018,0.9,28.0
Passenger car (driver),Trip in March,West-Nederland (LD),2019,0.91,28.0
Passenger car (driver),Trip in March,West-Nederland (LD),2020,0.65,20.0
Passenger car (driver),Trip in March,West-Nederland (LD),2021,0.72,22.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2018,1.28,40.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2019,1.11,34.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2020,0.86,27.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2021,0.89,27.0
Passenger car (driver),Trip in March,Groningen (PV),2018,0.87,27.0
Passenger car (driver),Trip in March,Groningen (PV),2019,,
Passenger car (driver),Trip in March,Groningen (PV),2020,,
Passenger car (driver),Trip in March,Groningen (PV),2021,,
Passenger car (driver),Trip in March,Fryslân (PV),2018,0.94,29.0
Passenger car (driver),Trip in March,Fryslân (PV),2019,1.04,32.0
Passenger car (driver),Trip in March,Fryslân (PV),2020,,
Passenger car (driver),Trip in March,Fryslân (PV),2021,0.84,26.0
Passenger car (driver),Trip in March,Drenthe (PV),2018,1.48,46.0
Passenger car (driver),Trip in March,Drenthe (PV),2019,1.54,48.0
Passenger car (driver),Trip in March,Drenthe (PV),2020,,
Passenger car (driver),Trip in March,Drenthe (PV),2021,,
Passenger car (driver),Trip in March,Overijssel (PV),2018,1.21,37.0
Passenger car (driver),Trip in March,Overijssel (PV),2019,1.01,31.0
Passenger car (driver),Trip in March,Overijssel (PV),2020,0.84,26.0
Passenger car (driver),Trip in March,Overijssel (PV),2021,0.84,26.0
Passenger car (driver),Trip in March,Flevoland (PV),2018,1.06,33.0
Passenger car (driver),Trip in March,Flevoland (PV),2019,0.82,26.0
Passenger car (driver),Trip in March,Flevoland (PV),2020,,
Passenger car (driver),Trip in March,Flevoland (PV),2021,0.93,29.0
Passenger car (driver),Trip in March,Gelderland (PV),2018,1.19,37.0
Passenger car (driver),Trip in March,Gelderland (PV),2019,1.17,36.0
Passenger car (driver),Trip in March,Gelderland (PV),2020,0.8,25.0
Passenger car (driver),Trip in March,Gelderland (PV),2021,0.85,26.0
Passenger car (driver),Trip in March,Utrecht (PV),2018,0.99,31.0
Passenger car (driver),Trip in March,Utrecht (PV),2019,0.87,27.0
Passenger car (driver),Trip in March,Utrecht (PV),2020,0.69,21.0
Passenger car (driver),Trip in March,Utrecht (PV),2021,0.71,22.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2018,0.74,23.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2019,0.82,25.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2020,0.64,20.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2021,0.71,22.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2018,0.96,30.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2019,0.94,29.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2020,0.61,19.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2021,0.71,22.0
Passenger car (driver),Trip in March,Zeeland (PV),2018,,
Passenger car (driver),Trip in March,Zeeland (PV),2019,,
Passenger car (driver),Trip in March,Zeeland (PV),2020,,
Passenger car (driver),Trip in March,Zeeland (PV),2021,,
Passenger car (driver),Trip in March,Noord-Brabant (PV),2018,1.3,40.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2019,1.12,35.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2020,0.83,26.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2021,0.9,28.0
Passenger car (driver),Trip in March,Limburg (PV),2018,1.25,39.0
Passenger car (driver),Trip in March,Limburg (PV),2019,1.1,34.0
Passenger car (driver),Trip in March,Limburg (PV),2020,0.94,29.0
Passenger car (driver),Trip in March,Limburg (PV),2021,0.84,26.0
Passenger car (driver),Trip in March,The Netherlands,2018,1.0,31.0
Passenger car (driver),Trip in March,The Netherlands,2019,0.95,29.0
Passenger car (driver),Trip in March,The Netherlands,2020,0.72,22.0
Passenger car (driver),Trip in March,The Netherlands,2021,0.76,24.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2018,0.89,28.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2019,0.89,28.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2020,0.78,24.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2021,0.72,22.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2018,1.06,33.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2019,0.96,30.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2020,0.71,22.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2021,0.77,24.0
Passenger car (driver),Trip in March,West-Nederland (LD),2018,0.83,26.0
Passenger car (driver),Trip in March,West-Nederland (LD),2019,0.83,26.0
Passenger car (driver),Trip in March,West-Nederland (LD),2020,0.6,18.0
Passenger car (driver),Trip in March,West-Nederland (LD),2021,0.67,21.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2018,1.16,36.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2019,0.99,31.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2020,0.76,24.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2021,0.8,25.0
Passenger car (driver),Trip in March,Groningen (PV),2018,0.62,19.0
Passenger car (driver),Trip in March,Groningen (PV),2019,,
Passenger car (driver),Trip in March,Groningen (PV),2020,,
Passenger car (driver),Trip in March,Groningen (PV),2021,,
Passenger car (driver),Trip in March,Fryslân (PV),2018,0.68,21.0
Passenger car (driver),Trip in March,Fryslân (PV),2019,0.78,24.0
Passenger car (driver),Trip in March,Fryslân (PV),2020,,
Passenger car (driver),Trip in March,Fryslân (PV),2021,0.63,19.0
Passenger car (driver),Trip in March,Drenthe (PV),2018,1.06,33.0
Passenger car (driver),Trip in March,Drenthe (PV),2019,1.04,32.0
Passenger car (driver),Trip in March,Drenthe (PV),2020,,
Passenger car (driver),Trip in March,Drenthe (PV),2021,,
Passenger car (driver),Trip in March,Overijssel (PV),2018,1.0,31.0
Passenger car (driver),Trip in March,Overijssel (PV),2019,0.83,26.0
Passenger car (driver),Trip in March,Overijssel (PV),2020,0.66,20.0
Passenger car (driver),Trip in March,Overijssel (PV),2021,0.69,21.0
Passenger car (driver),Trip in March,Flevoland (PV),2018,0.77,24.0
Passenger car (driver),Trip in March,Flevoland (PV),2019,0.57,18.0
Passenger car (driver),Trip in March,Flevoland (PV),2020,,
Passenger car (driver),Trip in March,Flevoland (PV),2021,0.68,21.0
Passenger car (driver),Trip in March,Gelderland (PV),2018,1.02,32.0
Passenger car (driver),Trip in March,Gelderland (PV),2019,0.99,31.0
Passenger car (driver),Trip in March,Gelderland (PV),2020,0.66,21.0
Passenger car (driver),Trip in March,Gelderland (PV),2021,0.73,23.0
Passenger car (driver),Trip in March,Utrecht (PV),2018,0.8,25.0
Passenger car (driver),Trip in March,Utrecht (PV),2019,0.69,21.0
Passenger car (driver),Trip in March,Utrecht (PV),2020,0.58,18.0
Passenger car (driver),Trip in March,Utrecht (PV),2021,0.61,19.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2018,0.64,20.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2019,0.7,22.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2020,0.54,17.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2021,0.62,19.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2018,0.85,26.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2019,0.84,26.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2020,0.53,16.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2021,0.64,20.0
Passenger car (driver),Trip in March,Zeeland (PV),2018,,
Passenger car (driver),Trip in March,Zeeland (PV),2019,,
Passenger car (driver),Trip in March,Zeeland (PV),2020,,
Passenger car (driver),Trip in March,Zeeland (PV),2021,,
Passenger car (driver),Trip in March,Noord-Brabant (PV),2018,1.15,36.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2019,0.97,30.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2020,0.71,22.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2021,0.79,25.0
Passenger car (driver),Trip in March,Limburg (PV),2018,1.01,31.0
Passenger car (driver),Trip in March,Limburg (PV),2019,0.87,27.0
Passenger car (driver),Trip in March,Limburg (PV),2020,0.76,24.0
Passenger car (driver),Trip in March,Limburg (PV),2021,0.69,21.0
Passenger car (driver),Trip in March,The Netherlands,2018,1.11,34.0
Passenger car (driver),Trip in March,The Netherlands,2019,1.06,33.0
Passenger car (driver),Trip in March,The Netherlands,2020,0.8,25.0
Passenger car (driver),Trip in March,The Netherlands,2021,0.84,26.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2018,1.25,39.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2019,1.29,40.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2020,1.12,35.0
Passenger car (driver),Trip in March,Noord-Nederland (LD),2021,1.03,32.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2018,1.3,40.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2019,1.2,37.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2020,0.92,28.0
Passenger car (driver),Trip in March,Oost-Nederland (LD),2021,0.95,29.0
Passenger car (driver),Trip in March,West-Nederland (LD),2018,0.97,30.0
Passenger car (driver),Trip in March,West-Nederland (LD),2019,0.98,30.0
Passenger car (driver),Trip in March,West-Nederland (LD),2020,0.71,22.0
Passenger car (driver),Trip in March,West-Nederland (LD),2021,0.77,24.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2018,1.41,44.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2019,1.24,38.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2020,0.96,30.0
Passenger car (driver),Trip in March,Zuid-Nederland (LD),2021,0.98,30.0
Passenger car (driver),Trip in March,Groningen (PV),2018,1.11,34.0
Passenger car (driver),Trip in March,Groningen (PV),2019,,
Passenger car (driver),Trip in March,Groningen (PV),2020,,
Passenger car (driver),Trip in March,Groningen (PV),2021,,
Passenger car (driver),Trip in March,Fryslân (PV),2018,1.2,37.0
Passenger car (driver),Trip in March,Fryslân (PV),2019,1.3,40.0
Passenger car (driver),Trip in March,Fryslân (PV),2020,,
Passenger car (driver),Trip in March,Fryslân (PV),2021,1.06,33.0
Passenger car (driver),Trip in March,Drenthe (PV),2018,1.91,59.0
Passenger car (driver),Trip in March,Drenthe (PV),2019,2.03,63.0
Passenger car (driver),Trip in March,Drenthe (PV),2020,,
Passenger car (driver),Trip in March,Drenthe (PV),2021,,
Passenger car (driver),Trip in March,Overijssel (PV),2018,1.41,44.0
Passenger car (driver),Trip in March,Overijssel (PV),2019,1.2,37.0
Passenger car (driver),Trip in March,Overijssel (PV),2020,1.02,32.0
Passenger car (driver),Trip in March,Overijssel (PV),2021,0.99,31.0
Passenger car (driver),Trip in March,Flevoland (PV),2018,1.35,42.0
Passenger car (driver),Trip in March,Flevoland (PV),2019,1.08,33.0
Passenger car (driver),Trip in March,Flevoland (PV),2020,,
Passenger car (driver),Trip in March,Flevoland (PV),2021,1.17,36.0
Passenger car (driver),Trip in March,Gelderland (PV),2018,1.36,42.0
Passenger car (driver),Trip in March,Gelderland (PV),2019,1.35,42.0
Passenger car (driver),Trip in March,Gelderland (PV),2020,0.93,29.0
Passenger car (driver),Trip in March,Gelderland (PV),2021,0.98,30.0
Passenger car (driver),Trip in March,Utrecht (PV),2018,1.18,37.0
Passenger car (driver),Trip in March,Utrecht (PV),2019,1.05,33.0
Passenger car (driver),Trip in March,Utrecht (PV),2020,0.8,25.0
Passenger car (driver),Trip in March,Utrecht (PV),2021,0.81,25.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2018,0.85,26.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2019,0.94,29.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2020,0.74,23.0
Passenger car (driver),Trip in March,Noord-Holland (PV),2021,0.8,25.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2018,1.08,33.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2019,1.05,33.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2020,0.7,22.0
Passenger car (driver),Trip in March,Zuid-Holland (PV),2021,0.78,24.0
Passenger car (driver),Trip in March,Zeeland (PV),2018,,
Passenger car (driver),Trip in March,Zeeland (PV),2019,,
Passenger car (driver),Trip in March,Zeeland (PV),2020,,
Passenger car (driver),Trip in March,Zeeland (PV),2021,,
Passenger car (driver),Trip in March,Noord-Brabant (PV),2018,1.45,45.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2019,1.27,39.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2020,0.95,29.0
Passenger car (driver),Trip in March,Noord-Brabant (PV),2021,1.01,31.0
Passenger car (driver),Trip in March,Limburg (PV),2018,1.49,46.0
Passenger car (driver),Trip in March,Limburg (PV),2019,1.34,41.0
Passenger car (driver),Trip in March,Limburg (PV),2020,1.13,35.0
Passenger car (driver),Trip in March,Limburg (PV),2021,1.0,31.0
Passenger car (driver),Trip in April,The Netherlands,2018,0.93,28.0
Passenger car (driver),Trip in April,The Netherlands,2019,0.93,28.0
Passenger car (driver),Trip in April,The Netherlands,2020,0.49,15.0
Passenger car (driver),Trip in April,The Netherlands,2021,0.78,24.0
Passenger car (driver),Trip in April,Noord-Nederland (LD),2018,0.99,30.0
Passenger car (driver),Trip in April,Noord-Nederland (LD),2019,0.86,26.0
Passenger car (driver),Trip in April,Noord-Nederland (LD),2020,0.59,18.0
